強欲,ラベル_強欲,嫉妬,ラベル_嫉妬,怠惰,ラベル_怠惰,憤怒,ラベル_憤怒,暴食,ラベル_暴食,傲慢,ラベル_傲慢
@Chi_tou まじか〜！私は使わなくてもやっぱり蛍ちゃんで良かったなって思ってる🥺,2,RT @JackCrispin201q: え？何何？カゼミロ現実味帯びてるの？なんで？ 笑,2,"緊張しないようにしてたけど
不完全燃焼すぎた
マジ強い人達と出るとなんでこーなるんだるだる",2,"RT @YOSHIHI17950532: マジで腹立つなこいつ。
一律にどんなところでもマスクしてる日本が感染者数世界一なのはどう説明するんだよ？
感覚だけでいい加減なこと言ってんじゃねーよ医学部教授が。
しかも小児科だろ。
子どものこともう少し考えろよ。",2,"RT @RisaRisakokko: 塾講やってると、トップレベルの大学目指してる女子が平気で「女の子だから能力に限界がある」とつぶやく瞬間に（稀に）でくわす。
20年に満たない人生で彼女たちはきっと同じことを言われ続けてきて、心からそれが正しいと思い込んでる。こういうのが何よ…",2,大阪府警の職質による炎上騒ぎの動画を視聴中。どんな事情があるにせよ、警察官が市民にこんな横暴な振る舞いをするのは間違っている気がします。,2
"@naya_m13 菜谷さん！！実はこの垢を作る前からお見かけする事があって本当に繋がれてまじでハッピーでした✨✨
私も楽しかったです！！♡
はい、宜しくお願いします🎶ありがとうございました！！",2,馬鹿みたいなこと言うんだけど、常日頃晒してる自探への狂いを誰にも認知されてないと思ってるからワーの口から自探の名前が出てくると「エ！？なんで知ってるんですか！！？？」ってなる。,2,毎回履修登録でこれしないとあかんのだるすぎ https://t.co/Nb30Hf3WeR,2,"うちの旦那ってさ
料理はする片付けは気が向いただけ、麺の茹で具合、ご飯の固さ、弁当のおかずに
うるさい、麺、ご飯固め
焼きそばも生麺から自分で作る。味付けや麺の好みにうるさいから私は手を出さない。
言われたら腹立つし。旦那口出しす… https://t.co/XzDYKSZ7Mf",2,@skryta プロを目指してる人の上位15%と、健康のためにやってるレベルの人も入れた1%は同列にできないけど、それを除外してもやはり芸事で食っていける人は1%には満たないだろうな。,2," @RibbonChieko: EEZにミサイル着弾でも即NSC会議もせず電話抗議と甘々の態度に、中国軍が日本は国を守る覚悟が弱いと見誤るのが怖いです。領海侵入3日連続

中国の言い分
“海の境界線はなく日本のEEZは存在しない”
“世界のルールは力がある方が決める”
この…",2
まじでAPEX戦ったらすぐ漁夫でくそおもんないゴミマップ消せ,2,RT @gazette05Reita: よろしくね✋🏻初めての事なんで若干緊張しつつも声が枯れるまで喋ろうと思う🎤,2,2日連続外出ただけで足筋肉痛なのわろただるすぎ,2,"ちいかわの魔女が國府田マリ子との情報得て見てきた！
ママレードボーイの光希は腹立つ女の喋り方だから全然違くて笑った🤣",2,"RT @k_iroha_pad: #パズドラーと繋がりたい 
#メンテ恒例 
1400目指してるパズドラーです
四季神シェリング門松🅱️やってます
パズドラーはフォロバします https://t.co/QpQsGc5yIN",2," @RibbonChieko: EEZにミサイル着弾でも即NSC会議もせず電話抗議と甘々の態度に、中国軍が日本は国を守る覚悟が弱いと見誤るのが怖いです。領海侵入3日連続

中国の言い分
“海の境界線はなく日本のEEZは存在しない”
“世界のルールは力がある方が決める”
この…",2
"えっろ、スープラえろすぎる
まじで買いたい https://t.co/kLB8OoB74C",2,@Kin_k_1020 たぶんでごめんな！！！！！！！！,2,竜骨解禁されたせいでアンカレッジとかの認識出るようになったのだるすぎワロタ,2,"KD1の雑魚と同じ実力と思われてるのが1番腹立つなw
さすがになめすぎやw",2,"RT @k_iroha_pad: #パズドラーと繋がりたい 
#メンテ恒例 
1400目指してるパズドラーです
四季神シェリング門松🅱️やってます
パズドラーはフォロバします https://t.co/QpQsGc5yIN",2," @momotro018: 鈴木エイト氏　#ミヤネ屋
「教団の焦りを感じる。日本の信者から収奪した金で教団の組織運営が成り立っているので、日本からの送金が止まることを怖れている」
#統一教会と自民党
統一教会の送金ルートを断つ事は即ち、自民党カルト政権の横暴を止める事に繋が…",2
"RT @nogi_hina__46_: 冒頭｢…まなさん！(みなさん)｣で噛んじゃったの最高にかあいいし、最初の挨拶長すぎて大事な紹介部分全然ないのもほんと好き笑笑

とりあえずレイちゃんのトークは動画写真も多くて毎日元気をくれるので贔屓目なしにおすすめです！！！
まじで取って…",2,ここ1年のチケットの倍率・FC会員数・シングルの売上を見て、KAT-TUNって前の２つが他に比べて悪いけど、売上だけはそこまでがっつり差がないのなんでだろ？多ステ勢が少ないのかな？あと、子育てしてて、シングル購入だけ…って層が結構… https://t.co/27oryK0Dhj,2,僕より性格終わってる女がいるんやけどだるすぎていや,2,"もとかれ足とか腕とか肌綺麗なの腹立つ
まだおくってくる足の写真なんの重要もない",2,"鎌ヶ谷目指してる
初めて行く土地だからちょっとワクワクする",2,戦士でSTってなんのために戦士やってんだ！(横暴,2
"@gh0__w www
まじで最後のオチも完璧の神枠だった",2,しかしその後なんでレポート書いたり墓参りしたりまでしたのはどうしてだろうｗ,2,"Twitterのっとられんの
だるすぎ

イライラするわ",2,"朝からしょーもないことでTELしてくるなーーー！！！腹立つわー
せっかくのバースデーなのに…",2,"「通称使用」の質問にこだわった法務省　「別姓」慎重派を意識か

誰のための制度作りを目指してる？
自民党の爺さんたちの固執した考えを今後の人たちに残そうとでもしてるんか？

https://t.co/BboC8utQ5a",2,@hiranok: 昔は、「ゴメンで済むなら警察要らん」と言ったものだが、最近の与党議員は「知らんで済むなら～」状態で、反省も謝罪もしないし、だって私はバカで無知で世間知らずなんだから仕方ないだろう！と開き直る始末。尤も、それも嘘で、知らないはずはないが。,2
"ありがとう金リンゴ！！！！🥰🥰🥰
ちゃんと宝箱見つけきれなくってごめんだけどまじでありがとう金リンゴ😭🙏",2,@Raneikokou15 ただの変態行為なんでしばらくは辞めます😌,2,"人間の身体最近疲れやすいのバグ？

だるすぎて立ってるの辛い",2,"RT @nichinichibijou: 何が腹立つって一般庶民がこういう状況でも権力者は易々と検査も受診もできちゃうってとこなんですよ…それどころか、やる必要はおろか法的根拠すらない""国葬""なる全体主義的おいたわしやセレモニーに36億5500万も国費を突っ込むってんだから、私…",2,"@ri_shuuty1211 看護師目指してるよ💕
そうなんだね🫶
当たりますように🙏💕",2,@nasitaro: 生稲晃子、あまりの無知さについ右も左も分からない新人の女の子のつもりで見てしまうが、実は磯野波平と同じ年齢である。,2
まじで八つ当たりえぐいてwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,2,"@glasses_galsuki 男になりたいからコワモテは褒め言葉✌️
雰囲気と中身にギャップありすぎー！！てよく言われるっすwまあtwitter見てれば変なあたおか人なのは分かるんでヨシ！笑",2,"@n_e_o_40 そーなるよね！😂
家から出ないのに準備だるすぎて、、🥺
（近所のスーパーでも眉毛かくくらいしかしてない）",2,市内放送と選挙カーにはほんと腹立つ！子供が午前寝してバタバタした朝の家事がやっと終わって一息つける母の時間を奪う敵！これで午前寝の時間パーよ！,2,RT @badassceo: 趣味に熱中してると「何を目指してるの？」「何かの役に立つの？」と否定してくる人がいるかもしれないけど、「楽しいから」「やってる時幸せだから」と正直に答えればいい。人生は楽しんで幸せになったもん勝ちなんだからこれ以上に正当な理由はない。楽しくて幸せと…,2,@Taiuan_Lang 就是抹黑！想騙無知的選民！結果老天在眼 它們自己的論文更有問題！,2
いやでもまじオンライン発表会の変身ポーズ披露コーナー見た時から輝けフラッシュ！でグラスないしジョッキを高く掲げつつ乾杯、からのデッカー！！！！！ってでっかい声で叫ぶとこまで飲み会でやりたいもんね。みんなで。,2,え、今回バンドリーマー死ぬほど忙しくない？なんで？www,2,なんか音悪いなと思ってたらイコライザオフやったんやけどだるすぎ,2,"RT @Happydsk1: めっちゃ腹立つー！😠💢

地元のニュース
「県内で新型コロナでの20代の死亡は初です。交通事故で搬送後、感染発覚しました。直接の死因は新型コロナではないということです…」
だって！！！！
ふざけるなー💢

交通事故死の20代をコロナ死に含めるな！！😡",2,"RT @k_iroha_pad: #パズドラーと繋がりたい 
#メンテ恒例 
1400目指してるパズドラーです
四季神シェリング門松🅱️やってます
パズドラーはフォロバします https://t.co/QpQsGc5yIN",2," @takatoh_life: DHMOのジョークと自分が相容れない理由は知らないことを嘲笑する冗談になっているところですね。

科学コミュニケーションをしたい者としては知らないこと、無知を蔑む姿勢が透けるので苦手です。

世界は知らないことばかりだからこそ、学び探求し合え…",2
"RT @shuji_0505: よく考えたらまじで今シーズンもし4位になったらバカバカしすぎない??(笑)
優勝争いしたのにCSにも行けない上にドラフトでも恩恵ないし",2,"@IDkawarimasita クロウカードからさくらカード篇のOP衣装とかです😂
クリアカードのも好きなんですが、私もコレクターなんで本命欲しさに集め出してしまいそうだなと怖くなって🙇🏻‍♀️
小・中学生の頃CLAMPグッズかなり集めてたので…😅",2,なんかからだだるすぎて出社できなくてリモートにしてもらった、、、、がんばれなかった、、、( ´･ω･`),2,@kookunnnn 本当に腹立つよね💢💢💢気持ち悪い！りーくんずっとずっとずっとくっつかれて追われてた💢💢💢かわいそすぎる,2,"RT @SaBaRu58340515: 【#メンテ恒例】

料理人目指してる♂現役高校生です👍
最近ほとんどTwitterしてないけどフォロバは絶対するからフォローして欲しーな！

#メンテ恒例企画
#いいねかRTで気になった人フォローする 
#フォロバ100
#パズドラ ht…",2,"熊はどこで生きればいいんだろうね…

胃袋からは人間の髪の毛や耳が…4人死亡､4人重軽傷｢本州最悪の殺人熊｣はなぜ人を襲ったのか 被害拡大を招いた｢獣害｣への無知 #プレジデントオンライン https://t.co/2n9jcPrXT0",2
アイクが「よく、私のお母さんがアイク好きだよ！って言われるんだよ！まじでめちゃくちゃ言われる！どうしてだ！」的なこと言ってたけど、めっちゃ、でしょうね😄になりわろた,2,"なんで、我が子のイベントで何やるか何着せるかすんごい早い段階で考えて、
こうしようと思ってるんで！(訳:お前らまじ何もすんな、勝手にセレモニードレスとか買うなよまじで！？！)って
先手打って言わなあかんの😭
自分の子じゃないんだよ？なんでそこまででしゃばれるの？本当に不思議。",2,遅延だるすぎTV,2,"RT @Happydsk1: めっちゃ腹立つー！😠💢

地元のニュース
「県内で新型コロナでの20代の死亡は初です。交通事故で搬送後、感染発覚しました。直接の死因は新型コロナではないということです…」
だって！！！！
ふざけるなー💢

交通事故死の20代をコロナ死に含めるな！！😡",2,＊てーき＊くりきんとんくんいつも可愛いね　しんのすけくん私のこと好きすぎね　きんたろうくんは何を目指してるの　しまじろうくんは私のなんなのさ　とらごろうくんは安定の自意識過剰だね　しんたろうくんはおばかちゃんだね,2,@nasitaro: 生稲晃子、あまりの無知さについ右も左も分からない新人の女の子のつもりで見てしまうが、実は磯野波平と同じ年齢である。,2
うちのぐうちゃんマイペースでまじでなでなで,2,"マスク生活になってマスカラをほとんど使わなくなったら、、
まつ毛バサバサになった。毛が生えやすい環境って何もしないことなんじゃないのかな～前からクレンジングは優しくやってたけど、それも多少は負担だったんだなって。
でもマスカラは好きなんで、たまには使います✨",2,体だるすぎ,2,"兄さんのターンは可愛かったけど妹のターンは腹立つな

そこに愛はあるんか〜

だが私はナロの成り上がりストーリーを応援してる

 #人生最高の贈り物",2,"自分がリスペクトしてる方達の写真見て何が違うかとか見比べて何とかなくわかった気がする🤔
少し編集の仕方変えてみた！
光を柔らかくってゆーの意識したら目指してる所にすこーーし近ずけた気がする！？←気がするだけ笑
まだまだなんか違うっ… https://t.co/hxTpppz5ez",2,"@knakano1970 無知の無知
そんな人間は
公職には不適格です",2
"@nknknon まじで、仕事忙しすぎて、Twitterスルーばっかしてたら、なんか色々めんどくさいことなってるし、
私は全くソースもわかってない😇",2,RT @washinglife: 「とてもとても」みたいな反復強調を使った時、若干小さな字で「重複？」と赤を入れてくる校正さんがたまらなく好き。その赤字の微妙な小ささに「『とてもとても』という表現がアリなのはわかってますけど、万が一ミスだったらなんなんで、一応念のためです」的な…,2,1時間目から数学はだるすぎた,2,前から来てるの分かってるのに自転車全く避けへんおっさんほんま腹立つな,2,"RT @k_iroha_pad: #パズドラーと繋がりたい 
#メンテ恒例 
1400目指してるパズドラーです
四季神シェリング門松🅱️やってます
パズドラーはフォロバします https://t.co/QpQsGc5yIN",2,"@Despaa232323 そうなのですね！
ｽﾃｨｰﾌﾞﾝ・ｷﾝｸﾞと聞いていましたがテロップがStephenなので「あれ？原作者違う？」って思いながら観てました。←無知💦
ｽﾃｨｰﾌﾞﾝといえばStevenと刷り込まれていまして😅",2
"RT @502novia: あと先日の集合絵で初描きだったんですけど可愛く描けたなーと思ったので見て欲しくて原寸サイズを……
ユーちゃんもまじ天使だけどイルーシャたんもまじ天使 https://t.co/Lm4y6eO4L0",2,@italy11141275 ですよねーまあ今後注目されたら増える一方なんでその時を待ってますがちょっとだけ心配ですね😅,2,"明日学校だるすぎなんだが？？
いえにずっといたいはー",2,"年下だったり、女性になると途端にすごく無礼な発言や行動する奴おるよね
ほんとクソガキすぎて腹立つわ",2,［マルチに活動する人に］川谷絵音目指してる？,2,"原神界隈について無知なのでちょっとしたアンケ！🙇‍♀️💦

通話するならどっちですか？！🙏🏻💭",2
でもその後の同期でご飯が1番楽しいかもね🥳久々のご飯は2人が良かったって言われたのはほんとに申し訳なかったな🥺付き合い長いけどこいつ可愛いかよってまじで思った🥹,2,@J_change04 なんでそんなに魅力的なん🥺,2,"仕事だるすぎ
なんで仕事が存在してるんだ",2,"あー腹立つあの上長、やっぱ管理職の器ねぇな
一回降格しただけあるわ〜って感じ",2,"RT @gam_wife_mari3: 基本それぞれのメンバーシップで回復に努めますが、たまにギャンブラーの仲間と活動すると楽しいですよ。目指してる方向が一緒だとわかるから。
#ギャン妻",2," @mentorakira: 降三世明王は過去・現在・未来の三世における三毒（むさぼり・怒り・無知）を抑え鎮める仏です。

そこからくるご利益は煩悩除去、怒りを抑える、悪魔退散となります。

特に怒りを抑える力が強い明王でございます",2
まじで自分のパートで映る瞬間一瞬たりとも表情管理逃さないの凄い。 https://t.co/yxlrCVwV7J,2,"なんかてがぶるぶるする(´・ω・｀)
なんで(´；ω；｀)",2,だるすぎ,2,"RT @dx_unkoman3rd: 梅田和子さん） 　「これがチョコレートです。菊の御紋が押してあるんですよ。『天皇からの贈り物』だと」

天皇(皇室)が覚醒剤を日本人にバラ撒いてた､政府もグルだったって事の紛れもない証拠だわな。
https://t.co/B6e615zSL…",2,@nekopanchiko 私だいたいはイベ報酬キャラ完凸目指してるけど最近は1000連以上いくのが多いちょいキツいって感じる😩😩,2,"@amenominakanu15 @mfrkmfrk 無知なのは｢マスクの強要は法律違反｣だなんてデマに騙されてるお前らだな。
まぁ、それを理解する知能があれば反マスクになんかならないよな。マスクを着ける理由さえいまだに理解出来ず… https://t.co/k6W50ivUKa",2
"@pyon1407 草www
でもTwitterでブロられたらリアルで話しかける勇気まじでないwww",2,"@kusakomaru なんで自信なくなるの！そこは断言しよw
草ちゃんは可愛い女の子でしょ*ˊᵕˋ*",2,"RT @Minat0_0915: ちゃんと詐欺られた
だるすぎー拡散お願いします🙇🏻‍♀️
フォロワー少ないんですぐ凍結する！
#倍増詐欺  #詐欺師 #詐欺
#拡散
#そら 
#そらの実績  詐欺です
@WxLcvXvRRTZUCke https://t.co/Uqh4bKY…",2,"あー、腹立つ
一生土食べとけ",2,RT @eda_mame_ko1: ベビールームでおむつ替え中に大泣きしてる赤ちゃんがいて、それを横でおむつ替えられながらまじまじと見ていた娘がおもむろに立ち上がり、赤ちゃんを見下ろしながら「はやく大きくなりたいか？」って悪魔のささやきみたいなこと言い始めてベビールームが一瞬ざ…,2,@gaoyu200812: 看到一條微信“病毒清零運動是有史以來對人權、人性的一次巨大的災難性的考驗，震驚了世界！中國人的忍耐、懦弱和無知將刷新全世界對中國人的認知。中國人從‘東亞病夫’逐步進化為‘東亞懦夫’。”不認為是自毀長城。反觀胡錫進14日微博“今天台灣就是1949…,2
まじで可愛いむり可愛い,2,RT @gazette05Reita: よろしくね✋🏻初めての事なんで若干緊張しつつも声が枯れるまで喋ろうと思う🎤,2,すめーる来るまで寝ていたい。てか31日まで寝ていたい,2,"日教組腹立つわー！！
あいつらなんのためにおんねん！？
なにが
覚醒剤チョコや！？
当時は合法でそんな練り込んだりして隠さんでも普通に流通してるし
逆にチョコレートあったんかい

#ＭＢＳ
#よんチャンTV",2,RT @eda_mame_ko1: ベビールームでおむつ替え中に大泣きしてる赤ちゃんがいて、それを横でおむつ替えられながらまじまじと見ていた娘がおもむろに立ち上がり、赤ちゃんを見下ろしながら「はやく大きくなりたいか？」って悪魔のささやきみたいなこと言い始めてベビールームが一瞬ざ…,2," @TomTom_san: @kei_chad1115 えっ！？Keiさん。。。無知で申し訳ありませんが、そんな現実を知りませんでした。この国の政治家は何を見て、誰のために仕事してるんですかねー。国民の幸福なんて一切望んでないように見える。酷い現状です。本当に腹立つ！
自分…",2
"@unDipxoD58I1xfO まじでだるいっすよね笑
7日にしてほしいです！笑",2,"みんな絵が上手い！
すごい！！
私も絵描けるようになりたい頑張ろ💪
んでさもよくばちょっとでも推し達の活動のプラスになればいいな",2,"一日寝ていたい時に限ってルームクリーニングの日。
お昼外で食べるか…",2,"RT @Happydsk1: めっちゃ腹立つー！😠💢

地元のニュース
「県内で新型コロナでの20代の死亡は初です。交通事故で搬送後、感染発覚しました。直接の死因は新型コロナではないということです…」
だって！！！！
ふざけるなー💢

交通事故死の20代をコロナ死に含めるな！！😡",2,"@ascat02 早く週末になりたい朝ですね
おはよう御座いますー",2,@hiranok: 昔は、「ゴメンで済むなら警察要らん」と言ったものだが、最近の与党議員は「知らんで済むなら～」状態で、反省も謝罪もしないし、だって私はバカで無知で世間知らずなんだから仕方ないだろう！と開き直る始末。尤も、それも嘘で、知らないはずはないが。,2
@m3ixn まじであばれすぎてよくわからないネガキャンとかされるしもうはなれる~あいたんずっとだいすきだよ、みんながわすれたころにもどってくるかもしれないからまたなかよくして,2,"「これが野球の怖さ」大阪桐蔭主将　九回に逆転許し　夏の甲子園(毎日新聞)
#Yahooニュース
https://t.co/jpxLLSchx2

高野連動けよ、手拍子禁止にしてくれ
なんで同じ高校生が悪役にならなあかんねん",2,"@ej3VLtYKLFYut5r 朝が忙しいからいつも４時半起きです(^_^)本当は８時９時まで寝ていたいけどね(-.-)Zzz・・・・
よろしくです＼(_ _)",2,"RT @Happydsk1: めっちゃ腹立つー！😠💢

地元のニュース
「県内で新型コロナでの20代の死亡は初です。交通事故で搬送後、感染発覚しました。直接の死因は新型コロナではないということです…」
だって！！！！
ふざけるなー💢

交通事故死の20代をコロナ死に含めるな！！😡",2,"RT @genriri161: #日常組絵描きさんと繋がりたい 
#wrwrd絵描きさんと繋がりたい 
初めてこのタグを使って、お邪魔します
推し：🍤/初期🐺
無言でいい、私は日本語が下手でずっと初心者です！！
友達になりたい、ありがとうございます😳 https://t.co/…",2,@hiranok: 昔は、「ゴメンで済むなら警察要らん」と言ったものだが、最近の与党議員は「知らんで済むなら～」状態で、反省も謝罪もしないし、だって私はバカで無知で世間知らずなんだから仕方ないだろう！と開き直る始末。尤も、それも嘘で、知らないはずはないが。,2
"無事到着！✨
まじで物騒な世の中過ぎで電車の中ずっと臨戦態勢だよw
いつ刃物振り回す奴が出ても対応出来るように自分の目線がぼーっと無意識にみんなの手元集中してるの気づいてたまに我に返るんだよねw",2,苦嫉む胃,2,起きたけど立ち上がれないままはや数十分、、、今日は1日寝ていたい,2,よくわかんねぇけど、茶色い頭のガキ、腹立つな,2,RT @eda_mame_ko1: ベビールームでおむつ替え中に大泣きしてる赤ちゃんがいて、それを横でおむつ替えられながらまじまじと見ていた娘がおもむろに立ち上がり、赤ちゃんを見下ろしながら「はやく大きくなりたいか？」って悪魔のささやきみたいなこと言い始めてベビールームが一瞬ざ…,2,@take_no_bamboo 推薦は無知ってこと？,2
まじでかっこいいなに？なんなの？すきなんだけど？,2,"『ポケットを探ると小刀と手巾に包んだ○○○○○の瓶が出てきた』
七愛はいつでもくちゅっとやれる・・・くたばれリア充、
私は生まれた時から約束された幸福を嫉む
貴様の事だアアアァー！　ウワァー！",2,すげーだるい（´・ω・｀）寝ていたいが仕事だ……,2,めっちゃ腹立つー！😠💢,2,RT @eda_mame_ko1: ベビールームでおむつ替え中に大泣きしてる赤ちゃんがいて、それを横でおむつ替えられながらまじまじと見ていた娘がおもむろに立ち上がり、赤ちゃんを見下ろしながら「はやく大きくなりたいか？」って悪魔のささやきみたいなこと言い始めてベビールームが一瞬ざ…,2,🥧のやつ何も見ずに行く気持ちになってたけど、高っ😳😳😳無知すぎて相場もわからない💦でも行きたい！,2
@naco_mochizuki まじ！？それでお金変わらないの神運営すぎる😭感謝の気持ちはガチャおじさんの手袋破れるくらい沢山ガチャ回すね！,2,"「素晴らしい日本エリートたちと、それを嫉む反エリート主義者たち」という世界観においては、国家犯罪や大企業犯罪は「無かった」ことにするか、被害者達を「殺されようが犯されようが自業自得」な「下等な""DQN""」とするしかなくなる。",2,引きこもりのニートと一緒にしないでください！私は外に出たくないのではなく！ずっと寝ていたいだけなんです！,2,マジでうちの課長腹立つわー、The嫌な上司って感じだもん。,2,RT @tyomateee2: 仲良くなりたいサーバルと威嚇するワンコ、サーバルの上品さが凄い…https://t.co/wynaJpIoPw,2,@hiranok: 昔は、「ゴメンで済むなら警察要らん」と言ったものだが、最近の与党議員は「知らんで済むなら～」状態で、反省も謝罪もしないし、だって私はバカで無知で世間知らずなんだから仕方ないだろう！と開き直る始末。尤も、それも嘘で、知らないはずはないが。,2
制作品の納期が近いのに謎の余裕が出てくるのまじで悪い癖,2,そね・む【嫉む】〔他人の幸運や長所を見て〕自分にはそれが望み得ないことを不満に思い、相手に悪い事が起こればいいと思う。,2,不可不可のお布団の上で寝ていたい,2,"RT @Happydsk1: めっちゃ腹立つー！😠💢

地元のニュース
「県内で新型コロナでの20代の死亡は初です。交通事故で搬送後、感染発覚しました。直接の死因は新型コロナではないということです…」
だって！！！！
ふざけるなー💢

交通事故死の20代をコロナ死に含めるな！！😡",2,RT @eda_mame_ko1: ベビールームでおむつ替え中に大泣きしてる赤ちゃんがいて、それを横でおむつ替えられながらまじまじと見ていた娘がおもむろに立ち上がり、赤ちゃんを見下ろしながら「はやく大きくなりたいか？」って悪魔のささやきみたいなこと言い始めてベビールームが一瞬ざ…,2,"@choco_chiruno 無知でもいい
見せつけながら迫ってきてもいい",2
まじで栗山巧が野球界で1番かっこいいだろ #seibulions,2,"RT @taishi5407: 力があるから
幸運では無いねんよ？
欲を断ち
良心に従って行使するから
良き流れになるんやで

｢六戒｣
妬むな
嫉むな
羨むな

驕るな
蔑むな
欲するな

これは六戒
自身を律する為に
作った言葉やねん",2,@mofnmof ずっと寝ていたい_(┐「ε:)_,2,"@love_gukumin13 まじクソ会社やな…
あいあいぶっ倒れたら責任とってくれるわけ？
絶対とらんやろ！
ほんと腹立つ",2,"結局自分に甘すぎて
いらいらしちゃう-⁽ -´꒳`⁾-
痩せたい女の人になりたい
普通になりたいのに( ‘ᾥ’ )
最近サボりすぎ･⌒ ヾ(  ˙꒳˙  )",2,無知は罪ではないですよ。無知の知を知らないことが罪なんですよ。要するに知らない(と思われる)ことに耐えられない、知に対して謙虚な姿勢がないことが罪なんです。 https://t.co/TuESEFQo1y,2
るな1年1組だったからわかるけど、学校集会とかで端っこのクラスになるから寝れません。まじ起こされる。バインダーで頭叩いた先生許さない。,2,"団扇よ、お前を嫉む。
秋扇の明日はものかは。
お前は夜な夜な
君が胸に置かれる。
風鈴の音に
君が眠りに落つる時。

団扇よ、言へ
君が乳房はいかに柔いか。
その胸の底に
いかに私があるか。
君が夜な夜なの夢は何か。
『青楼の団扇に題す』",2,あぁ〜〜ずっと寝ていたい〜〜,2,"…親、正直言ってアレだわ😥
自分的には支度終えてかららほ""っとの面倒見るのが決まりなんだけどまだ支度終わらんのかと急かしてきて挙句にはらほ""に向かって、ひどいね〜無視してねー？かわいそうにねー？とか言ってて腹立つお前のがひどいよその後私にも急に態度変わっちゃったんだぁ〜へぇ…😒",2,陰謀「ふわふわウサギいっぱいに囲まれて幸せになりたい」,2,@kiya__na: 東京都の検査能力がせいぜい5万人/日程度しかないのに10万人や20万人という予測をしてしまう人を専門家として政策に関与させるのはおかしいと思うんですよね。数理モデルがどうこう以前の問題ですよ。,2
RT @ore_ikitai: 本当は内緒にしたいコスパ最高のホルモンを教える…新橋『鶴松』。ホルモンは350円～なのに新鮮で美味…必食なのは、生卵ダレで食べる生ロース、シマチョウ、レバー。シマチョウを生卵でといて食べるのが、まじ絶品…18時まで生ビールも290円…実は人気店『…,2,@futuresfortune そりゃ嫉む人も出ますわ！（褒め言葉です,2,"明日からまた連勤…
今日は一日中寝ていたいけど
出掛けないと…
まだ支度できないでゴロゴロしてる…",2,"黙祷したくないなら何も言わずにしなきゃいいのに、わざわざしないことを表明して、酷い奴は黙祷するなと強要して神経逆撫でしてくるの腹立つわ
 #黙祷の代わりにこれをする",2,"RT @ayane_Ksarumi: なんか楽しそうだな～
今度何作るのかな？？

っと　ワクワクさせる作家さんになりたい！！
 
#いつか超つよつよ作家になるので今のうちに推しませんか https://t.co/ShX1222R0P",2,@suiren_04510 おかしいのです！！！w(,2
宇佐美なんとかしてよw,2,"『ポケットを探ると小刀と手巾に包んだ○○○○○の瓶が出てきた』
七愛はいつでもくちゅっとやれる・・・くたばれリア充、
私は生まれた時から約束された幸福を嫉む
貴様の事だアアアァー！　ウワァー！",2,"ぼくは朝も昼も夜も寝ていたいよ
あのちゃん https://t.co/3BnizkmcTC",2,"3日連続で遅刻してやがる…
時間通り無理ならいつもと同じ開始時間でええやん。
こっちはそれに合わせて動いてるのに、遅刻しといて謝罪も反省も一切しないの腹立つ。",2,RT @an_an_ah: ババアと下 半 身の関係になりたい？,2,"いやです！
いくらウンチーク様の言うことでも、そんなのおかしいわ！
私は二人を退学にさせたくないからウンチーク様の言うとおりにしたのに！",2
"ねえ ちょっとなんとかして 時間がちっとも足りないの
Don’t stop the crazy my way 夢中になって過ぎちゃうわ",2,富は、富を欲するものを愛する。富を信じれない人や、富を嫉む人がいるけど、それって逆効果だよ！富やお金ってのは人を裏切ったりしない…裏切るのはそれを扱うにんげんだけだからね！悪いんのはいつも「人」,2,13wになって大分吐き気は改善されたけど、眠気がすごい🥹出来ることならずっと寝ていたい,2,@c3UTfnea74oGYLi @Mystinfinite @tensaaaaai 僕のAIがやられてると腹立つので反対です！😤,2,"早朝昨日寝落ちしただけだったらしい紳士から猛烈LINEアタックを受ける💦

嫉妬する
会いたい
すごく会いたい
今日会いに行っていい?

会　え　な　い　って言ってるでしょ🥹?

嫌いになって終わったわけじゃないから正直心苦しいし… https://t.co/HZfntZNeUg",2,しかし相変わらずうるせぇ実況だな。仕事中だからめっちゃ音小さくしてんのに聴こえるておかしいぞw,2
ついでに暗号資産の税制なんとかして,2,母親は息子の友人が成功すると嫉む。母親は息子よりも息子の中の自分を愛しているのである。,2,"休日はしっかり休むに限る！
ゆっくり寝ていたいと思います。",2,"RT @Happydsk1: めっちゃ腹立つー！😠💢

地元のニュース
「県内で新型コロナでの20代の死亡は初です。交通事故で搬送後、感染発覚しました。直接の死因は新型コロナではないということです…」
だって！！！！
ふざけるなー💢

交通事故死の20代をコロナ死に含めるな！！😡",2,"@8mxttunboushi1 おはようございます😃
早くその状態になりたい………！😭
発表は明日か明後日かな？楽しみ！！",2,おかしいな〜、ウリエンジェの話、1周目より泣いてる😭,2
